shape,name,lng,lat
"117.30347,31.858826_117.30236,31.858458_117.301969,31.859357_117.302172,31.859412_117.302622,31.859577_117.303041,31.859746_117.303565,31.860056_117.303767,31.860168_117.303973,31.860345_117.304594,31.85965_117.304716,31.859305_117.304632,31.859197_117.30347,31.858826",万达公馆(芜湖路),117.30337,31.859345
"117.351055,31.87922_117.351014,31.87932_117.350893,31.879367_117.349737,31.878974_117.348364,31.878358_117.348319,31.878277_117.34898,31.876334_117.349069,31.876143_117.350196,31.875796_117.350743,31.8756_117.351702,31.875252_117.352231,31.875079_117.352689,31.874966_117.353111,31.874895_117.353369,31.874869_117.35348,31.874924_117.353556,31.87503_117.353537,31.876282_117.353655,31.876782_117.353741,31.877299_117.353827,31.877868_117.353762,31.877975_117.353502,31.877992_117.351038,31.878029_117.351055,31.87922",万达华府(和县路),117.351178,31.877028
"117.289128,31.70164_117.289057,31.701735_117.286847,31.701703_117.286622,31.701495_117.286587,31.700231_117.289049,31.700213_117.289141,31.70035_117.289128,31.70164",悦湖苑,117.287883,31.700964
"117.297773,31.701561_117.297776,31.701586_117.297792,31.701612_117.297811,31.701631_117.297832,31.701648_117.297855,31.70166_117.297878,31.701671_117.301712,31.701656_117.301735,31.701656_117.301761,31.701651_117.301784,31.701636_117.301806,31.701608_117.301823,31.70156_117.301838,31.698693_117.301829,31.69865_117.301811,31.698615_117.301786,31.698583_117.30175,31.698551_117.301727,31.698534_117.301679,31.69852_117.299444,31.698516_117.297929,31.698527_117.297897,31.698534_117.297869,31.698547_117.297851,31.698563_117.297836,31.698588_117.297823,31.698607_117.297807,31.698644_117.297773,31.701561",万达揽湖苑,117.299809,31.700094
"117.303163,31.705731_117.303281,31.70578_117.306175,31.705781_117.306227,31.705762_117.306276,31.705722_117.306311,31.705669_117.306321,31.705605_117.306318,31.705064_117.306305,31.70503_117.306285,31.705006_117.306264,31.704997_117.306236,31.704994_117.303146,31.704991_117.302988,31.705142_117.302945,31.705302_117.302945,31.705452_117.303037,31.705635_117.303163,31.705731",万达银座,117.304663,31.705384
"117.31653,31.871346_117.316661,31.870704_117.316688,31.870458_117.316707,31.870424_117.31782,31.870455_117.317841,31.870481_117.317812,31.871321_117.317399,31.871339_117.317396,31.87166_117.31738,31.871683_117.317005,31.871651_117.317029,31.871376_117.31653,31.871346",三元小区,117.317213,31.870963
"117.245013,31.858606_117.244964,31.858625_117.244947,31.858717_117.244883,31.858732_117.244409,31.858721_117.2444,31.858994_117.24436,31.859767_117.244307,31.86091_117.24395,31.860881_117.243602,31.860845_117.243507,31.860791_117.243403,31.860684_117.243337,31.86062_117.242806,31.860614_117.242802,31.859901_117.242824,31.85971_117.243329,31.859711_117.243335,31.859494_117.243625,31.8595_117.243639,31.858981_117.243646,31.858681_117.244471,31.858692_117.244499,31.857861_117.245092,31.857868_117.245102,31.857078_117.246619,31.857126_117.246608,31.857385_117.246556,31.858643_117.245013,31.858606",三十八所宿舍,117.244711,31.858296
"117.313607,31.860464_117.314344,31.860191_117.314687,31.861032_117.314636,31.86105_117.314832,31.861458_117.313861,31.861695_117.313607,31.860464",合肥市第三十八中学(大通路校区),117.314173,31.860972
"117.310516,31.85572_117.30965,31.855651_117.309636,31.856034_117.308561,31.856011_117.308622,31.854776_117.308646,31.854489_117.309051,31.854608_117.309365,31.854635_117.309639,31.85464_117.309719,31.854653_117.309757,31.854681_117.3098,31.854811_117.309776,31.855531_117.310602,31.855613_117.310516,31.85572",合肥市第三十八中学和平校区,117.30922,31.85532
"117.30195,31.87652_117.301925,31.876601_117.302795,31.87721_117.302987,31.877186_117.304026,31.876301_117.304001,31.876127_117.303197,31.875282_117.302799,31.87572_117.30195,31.87652",合肥市第三十八中学(北校区),117.302513,31.876820
"117.471968,31.891165_117.474132,31.891033_117.474123,31.890709_117.474093,31.890626_117.474028,31.890616_117.474004,31.890675_117.471928,31.890805_117.471968,31.891165",八斗路拆迁恢复楼A区,117.473044,31.890916
"117.374922,31.861084_117.374867,31.860534_117.375523,31.860509_117.375453,31.860947_117.375613,31.860953_117.375537,31.861232_117.37492,31.861218_117.374922,31.861084",三星家园,117.375215,31.860876
"117.218168,31.832205_117.218194,31.832736_117.218877,31.832722_117.218953,31.832436_117.218962,31.832177_117.218168,31.832205",三江小区,117.21856,31.832453
"117.217999,31.801965_117.218063,31.80195_117.218094,31.801914_117.218126,31.801866_117.218181,31.799581_117.218162,31.799533_117.218093,31.79948_117.218007,31.799464_117.217934,31.799467_117.217846,31.799501_117.217634,31.799631_117.216226,31.800644_117.216152,31.800746_117.216068,31.800885_117.216017,31.801062_117.215998,31.801206_117.215989,31.801824_117.216157,31.801951_117.217999,31.801965",三盛·颐景园,117.217223,31.800948
"117.311565,31.874210_117.312619,31.873787_117.314144,31.873202_117.314547,31.872873_117.314686,31.872890_117.314795,31.872945_117.315354,31.873667_117.315409,31.873746_117.315518,31.873776_117.317549,31.873600_117.318845,31.873439_117.318956,31.873368_117.318996,31.873217_117.318943,31.872806_117.319087,31.872695_117.319225,31.872695_117.320443,31.872639_117.320554,31.872613_117.320600,31.872489_117.320543,31.871785_117.320548,31.871058_117.320543,31.869859_117.320465,31.869719_117.320386,31.869519_117.320362,31.868114_117.320292,31.867949_117.320135,31.867888_117.316128,31.867915_117.315212,31.867870_117.314459,31.867773_117.312829,31.867472_117.312657,31.867516_117.312500,31.867703_117.310315,31.869970_117.307834,31.872533_117.307830,31.872636_117.307907,31.872724_117.309226,31.873050_117.310327,31.873305_117.311052,31.873402_117.311185,31.873461_117.311258,31.873589_117.311487,31.874118_117.311513,31.874185_117.311565,31.874210",三里街,117.314980,31.870827
"117.311044,31.871083_117.311878,31.871257_117.312348,31.869591_117.312323,31.869523_117.31169,31.869373_117.311444,31.870286_117.311253,31.870384_117.311226,31.870427_117.311044,31.871083",铁路一村,117.311732,31.870358
"117.274933,31.880411_117.274758,31.880803_117.274185,31.880585_117.274381,31.880247_117.274933,31.880411",上元公寓,117.274568,31.880515
"117.147005,31.825138_117.147008,31.825151_117.147015,31.825162_117.147028,31.825171_117.147054,31.825174_117.14831,31.825167_117.148326,31.825166_117.148337,31.825159_117.148344,31.825151_117.148353,31.825131_117.14836,31.825101_117.148361,31.824049_117.148368,31.821452_117.148367,31.821443_117.148361,31.821437_117.148354,31.821433_117.14834,31.821429_117.147515,31.82143_117.147013,31.821421_117.146995,31.821425_117.146983,31.821435_117.146978,31.821454_117.146973,31.821795_117.146974,31.822716_117.147005,31.825138",新华·御湖上园,117.147673,31.823289
"117.356891,31.885364_117.353882,31.885373_117.353876,31.886252_117.355352,31.886238_117.355371,31.887626_117.358376,31.887608_117.35837,31.887178_117.358353,31.885861_117.35785,31.885847_117.357854,31.885715_117.356903,31.885743_117.356891,31.885364",国耀·园上园,117.356406,31.886447
"117.149379,31.700582_117.14935,31.70063_117.149343,31.700688_117.149355,31.700734_117.149384,31.700796_117.15194,31.702857_117.152927,31.703957_117.154126,31.705177_117.1542,31.705213_117.154261,31.705217_117.154311,31.705205_117.154367,31.70517_117.156834,31.702792_117.156863,31.702732_117.156858,31.702684_117.156843,31.70265_117.156808,31.702617_117.155674,31.702341_117.154589,31.70204_117.153899,31.701798_117.153016,31.701198_117.15201,31.700338_117.150956,31.699359_117.150909,31.699335_117.150856,31.699337_117.150807,31.69935_117.150765,31.699377_117.149379,31.700582",翰林水岸上园,117.153019,31.702311
"117.282475,31.892422_117.282416,31.892342_117.280529,31.891433_117.280498,31.892111_117.279472,31.892044_117.279364,31.892723_117.280478,31.892798_117.280505,31.89302_117.281244,31.893129_117.281241,31.893408_117.28114,31.894166_117.281,31.894449_117.280965,31.89464_117.281897,31.894729_117.281999,31.894725_117.282085,31.89468_117.282475,31.892551_117.282475,31.892422",上城国际·丁香苑,117.281258,31.89297
