address,city,date,district,hotpot,href,info,level,op,price,size,structure,tax,title,year,avg_price
九韵国际,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111214310100105394.html,高楼层(共6层)3室2厅|125平米|南,高楼层(共6层,南,65.0,125.0,3室2厅,0,南北通风，设施绿化齐全，楼层佳，采光无遮挡,0,0.52
翠湖林居,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19110614310100108353.html,低楼层(共6层)2室2厅|88平米|南,低楼层(共6层,南,25.0,88.0,2室2厅,0,翠湖林居 开发区旁 低楼层 总价低,0,0.2840909
西苑小区三村,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19030514310100101841.html,高楼层(共6层)|2012年建|2室1厅|72.85平米|南北,高楼层(共6层),南北,20.0,72.85,2室1厅,0,西苑小区三村 2室1厅 南 北,2012,0.27453673
东营小区一村,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19031614310100102219.html,高楼层(共4层)|2004年建|2室2厅|70平米|南北,高楼层(共4层),南北,26.0,70.0,2室2厅,0,东营小区一村 多层四楼 采光好,2004,0.37142858
天娇园,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111814310100114238.html,高楼层(共18层)3室2厅|163.8平米|北南,高楼层(共18层,北南,145.0,163.8,3室2厅,0,天娇园 3室2厅 北 南,0,0.8852259
焦家新村南区,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19092914310100105635.html,高楼层(共6层)3室2厅|100平米|南,高楼层(共6层,南,23.0,100.0,3室2厅,0,焦家新村南区 3室2厅 南,0,0.23
天井街小区一村,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19101214310100110170.html,高楼层(共6层)3室2厅|137平米|南,高楼层(共6层,南,52.0,137.0,3室2厅,0,天井街小区一村 3室2厅 南,0,0.37956205
家天下,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19100814310100111442.html,高楼层(共6层)2室1厅|95平米|南北,高楼层(共6层,南北,52.0,95.0,2室1厅,0,家天下 2室1厅 南 北,0,0.5473684
金汇康郡东区,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19101914310100106941.html,低楼层(共6层)2室2厅|90平米|南,低楼层(共6层,南,50.0,90.0,2室2厅,0,金汇康郡东区简装两房，满五不唯一税少！,0,0.5555556
老二中园丁公寓,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111614310100102895.html,高楼层(共6层)3室2厅|97.87平米|南,高楼层(共6层,南,38.0,97.87,3室2厅,0,老二中园丁公寓 3室2厅 南,0,0.38827014
玉兰园小区,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19110114310100110045.html,中楼层(共6层)3室2厅|107平米|南北,中楼层(共6层,南北,60.0,107.0,3室2厅,0,玉兰苑小区  精装三房   拎包入住  诚心出售,0,0.5607477
金汇康郡东区,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19100914310100101817.html,低楼层(共6层)3室2厅|129平米|南,低楼层(共6层,南,88.0,129.0,3室2厅,0,金汇康郡东区 3室2厅 南,0,0.68217057
襄城明珠碧水豪苑,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19102914310100106320.html,高楼层(共6层)4室2厅|148平米|南北,高楼层(共6层,南北,58.0,148.0,4室2厅,0,襄城明珠碧水豪苑毛坯复式楼，南北通透。,0,0.3918919
姑孰新城玫瑰园逸仙南苑,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111814310100116227.html,高楼层(共6层)1室1厅|64平米|东南,高楼层(共6层,东南,32.0,64.0,1室1厅,0,此房精装，阳光充足，格局通透，,0,0.5
荣博佳苑一期,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19080914310100102646.html,高楼层(共6层)3室2厅|120平米|南,高楼层(共6层,南,68.0,120.0,3室2厅,0,荣博佳苑一期 3室2厅 南,0,0.56666666
东誉城,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19082114310100106024.html,中楼层(共29层)|2017年建|1室1厅|55.41平米|北,中楼层(共29层),北,30.0,55.41,1室1厅,0,东誉城此小区环境好，安静。高铁站旁边,2017,0.5414185
翡翠豪庭,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111614310100106836.html,高楼层(共18层)2室2厅|100.2平米|南,高楼层(共18层,南,62.0,100.2,2室2厅,0,翡翠豪庭，采光好，楼层，位置好,0,0.6187625
翠竹小区,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19070614310100104390.html,高楼层(共6层)|2000年建|2室1厅|89.88平米|南北,高楼层(共6层),南北,37.0,89.88,2室1厅,0,翠竹小区 2室1厅 南 北,2000,0.41166002
西苑小区二村,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19110614310100108244.html,高楼层(共6层)2室1厅|77.64平米|南,高楼层(共6层,南,23.8,77.64,2室1厅,0,此房满五税费低，精装修采光佳，可拎包入住,0,0.30654302
景园,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19110914310100106549.html,低楼层(共11层)3室2厅|127平米|南,低楼层(共11层,南,65.0,127.0,3室2厅,0,景园 3室2厅 南,0,0.511811
翡翠豪庭,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19110514310100112779.html,中楼层(共18层)2室2厅|100.6平米|南,中楼层(共18层,南,58.0,100.6,2室2厅,0,翡翠豪庭 2室2厅 南,0,0.57654077
