address,city,date,district,hotpot,href,info,level,op,price,size,structure,tax,title,year,avg_price
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19111215110100102222.html,低楼层(共6层)2室2厅|82平米|南,低楼层(共6层,南,60.0,82.0,2室2厅,0,化建新村 2室2厅 南,0,0.73170733
花亭西村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19082515110100142456.html,高楼层(共6层)2室1厅|64平米|南,高楼层(共6层,南,36.0,64.0,2室1厅,0,花亭西村 2室1厅 南,0,0.5625
石化一路2号,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19082815110100100327.html,高楼层(共7层)2室2厅|82平米|南,高楼层(共7层,南,50.0,82.0,2室2厅,0,石化一路2号 2室2厅 南,0,0.6097561
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19082515110100129772.html,中楼层(共6层)2室1厅|82平米|南,中楼层(共6层,南,45.0,82.0,2室1厅,0,集贤北路化建新村，毛坯，满二，采光好,0,0.5487805
石化大湖新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19111515110100109674.html,中楼层(共5层)2室2厅|80平米|南,中楼层(共5层,南,73.0,80.0,2室2厅,0,石化大湖新村 2室2厅 南,0,0.9125
富春国际花园,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19101515110100101678.html,中楼层(共7层)2室2厅|84平米|南,中楼层(共7层,南,66.0,84.0,2室2厅,0,富春国际花园 2室2厅 南,0,0.78571427
石化一村南区,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19101915110100105910.html,高楼层(共6层)2室1厅|55平米|南,高楼层(共6层,南,45.0,55.0,2室1厅,0,石化一村南区 2室1厅 南,0,0.8181818
财和世家名都,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19101415110100154873.html,中楼层(共11层)3室1厅|147平米|南,中楼层(共11层,南,107.0,147.0,3室1厅,0,财和世家名都 3室1厅 南,0,0.72789115
富春国际花园,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19102115110100105082.html,中楼层(共11层)3室2厅|116.32平米|南,中楼层(共11层,南,75.8,116.32,3室2厅,0,富春国际花园 3室2厅 南,0,0.65165067
石化一村南区,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19111215110100102126.html,低楼层(共3层)2室1厅|83.6平米|南北,低楼层(共3层,南北,60.0,83.6,2室1厅,0,石化一村南区 2室1厅 南 北,0,0.71770334
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19031715110100100319.html,中楼层(共6层)3室2厅|129.25平米|南,中楼层(共6层,南,109.86,129.25,3室2厅,0,房子产证 满两年 户型 方正 中间楼层 多层公摊小,0,0.84998065
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19071015110100104475.html,高楼层(共11层)3室2厅|114平米|南北,高楼层(共11层,南北,76.0,114.0,3室2厅,0,化建新村 3室2厅 南 北,0,0.6666667
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19060315110100114212.html,中楼层(共11层)3室2厅|107.94平米|东南,中楼层(共11层,东南,74.0,107.94,3室2厅,0,化建新村 3室2厅 东南,0,0.68556607
石化大湖新村(水上公园路),安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19070815110100105614.html,高楼层(共5层)|1990年建|2室2厅|74平米|南,高楼层(共5层),南,74.0,74.0,2室2厅,0,石化大湖新村(水上公园路) 2室2厅 南,1990,1.0
财和世家名都,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19082615110100102174.html,高楼层(共11层)3室2厅|131.77平米|南,高楼层(共11层,南,82.0,131.77,3室2厅,0,财和世家名都 精品毛坯空置 小区环境很好 适合居住,0,0.6222964
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19112415110100104347.html,高楼层(共6层)2室2厅|80.17平米|南,高楼层(共6层,南,49.0,80.17,2室2厅,0,化建新村 2室2厅 南,0,0.6112012
